"title","description","duration","servings","image_url","ingredients","main_ingredients","steps"
"Crispy Salt and Pepper Potatoes","NULL","NULL","NULL","https://zfiyfhmsuhitytsuioml.supabase.co/storage/v1/object/public/recipe-images/crispy-salt-and-pepper-potatoes-dan-kluger.jpg","[""2 large egg whites"", ""1 pound new potatoes (about 1 inch in diameter)"", ""2 teaspoons kosher salt"", ""teaspoon finely ground black pepper"", ""1 teaspoon finely chopped rosemary"", ""1 teaspoon finely chopped thyme"", ""1 teaspoon finely chopped parsley""]","{""2 large egg whites"",""1 pound new potatoes (about 1 inch in diameter)"",""2 teaspoons kosher salt"",""teaspoon finely ground black pepper"",""1 teaspoon finely chopped rosemary"",""1 teaspoon finely chopped thyme"",""1 teaspoon finely chopped parsley""}","{""Preheat oven to 400F and line a rimmed baking sheet with parchment. In a large bowl, whisk the egg whites until foamy (there shouldnt be any liquid whites in the bowl). Add the potatoes and toss until theyre well coated with the egg whites, then transfer to a strainer or colander and let the excess whites drain. Season the potatoes with the salt, pepper, and herbs. Scatter the potatoes on the baking sheet (make sure theyre not touching) and roast until the potatoes are very crispy and tender when poked with a knife, 15 to 20 minutes (depending on the size of the potatoes)."",""Transfer to a bowl and serve.""}"
"Thanksgiving Mac and Cheese","NULL","NULL","NULL","https://zfiyfhmsuhitytsuioml.supabase.co/storage/v1/object/public/recipe-images/thanksgiving-mac-and-cheese-erick-williams.jpg","[""1 cup evaporated milk"", ""1 cup whole milk"", ""1 tsp. garlic powder"", ""1 tsp. onion powder"", ""1 tsp. smoked paprika"", ""tsp. freshly ground black pepper"", ""1 tsp. kosher salt, plus more"", ""2 lb. extra-sharp cheddar, coarsely grated"", ""4 oz. full-fat cream cheese"", ""1 lb. elbow macaroni""]","{""1 cup evaporated milk"",""1 cup whole milk"",""1 tsp. garlic powder"",""1 tsp. onion powder"",""1 tsp. smoked paprika"",""tsp. freshly ground black pepper"",""1 tsp. kosher salt, plus more"",""2 lb. extra-sharp cheddar, coarsely grated"",""4 oz. full-fat cream cheese"",""1 lb. elbow macaroni""}","{""Place a rack in middle of oven; preheat to 400. Bring evaporated milk and whole milk to a bare simmer in a large saucepan over medium heat. Whisk in garlic powder, onion powder, paprika, pepper, and 1 tsp. salt. Working in batches, whisk in three fourths of the cheddar, then all of the cream cheese."",""Meanwhile, bring a large pot of generously salted water to a boil (it should have a little less salt than seawater). Cook macaroni, stirring occasionally, until very al dente, about 4 minutes. Drain in a colander."",""Add macaroni to cheese sauce in pan and mix until well coated. Evenly spread out half of macaroni mixture in a 13x9"""" baking dish. Sprinkle half of remaining cheddar evenly over. Layer remaining macaroni mixture on top and sprinkle with remaining cheddar. Bake until all of the cheese is melted, about 10 minutes. Let cool slightly before serving.""}"
"Italian Sausage and Bread Stuffing","NULL","NULL","NULL","https://zfiyfhmsuhitytsuioml.supabase.co/storage/v1/object/public/recipe-images/italian-sausage-and-bread-stuffing-240559.jpg","[""1 (- to 1-pound) round Italian loaf, cut into 1-inch cubes (8 cups)"", ""2 tablespoons olive oil, divided"", ""2 pounds sweet Italian sausage, casings removed, divided"", ""1 stick unsalted butter, cut into pieces"", ""3 medium onions, chopped"", ""4 large celery ribs, chopped"", ""5 garlic cloves, minced"", ""4 large eggs, lightly beaten"", ""cup heavy cream, divided"", ""cup turkey giblet stock or reduced-sodium chicken broth"", ""1 cup grated Parmigiano-Reggiano (2 ounces)"", ""cup coarsely chopped flat-leaf parsley"", ""4-qt shallow ceramic or glass baking dish""]","{""1 (- to 1-pound) round Italian loaf, cut into 1-inch cubes (8 cups)"",""2 tablespoons olive oil, divided"",""2 pounds sweet Italian sausage, casings removed, divided"",""1 stick unsalted butter, cut into pieces"",""3 medium onions, chopped"",""4 large celery ribs, chopped"",""5 garlic cloves, minced"",""4 large eggs, lightly beaten"",""cup heavy cream, divided"",""cup turkey giblet stock or reduced-sodium chicken broth"",""1 cup grated Parmigiano-Reggiano (2 ounces)"",""cup coarsely chopped flat-leaf parsley"",""4-qt shallow ceramic or glass baking dish""}","{""Preheat oven to 350F with rack in middle. Generously butter baking dish."",""Put bread in 2 shallow baking pans and bake, switching position of pans halfway through baking, until just dried out, about 10 minutes."",""Heat 1 tablespoon oil in a 12inch heavy skillet over mediumhigh heat until it shimmers, then cook half of sausage, stirring and breaking it into small pieces, until golden brown, about 6 minutes. Transfer with a slotted spoon to a large bowl. Brown remaining sausage in remaining tablespoon oil, transferring to bowl."",""Pour off fat from skillet and wipe clean. Heat butter over medium heat until foam subsides, then cook onions, celery, garlic, and  teaspoon each of salt and pepper, stirring occasionally, until golden, 12 to 15 minutes. Add vegetables and bread to sausage."",""Whisk together eggs,  cup cream, turkey stock, cheese, and parsley, then stir into stuffing and cool completely, about 30 minutes. Reserve 5 cups stuffing to stuff turkey and spoon remainder into baking dish, then drizzle with remaining  cup cream. Cover stuffing and chill."",""About 1 hour before stuffed turkey is finished roasting, bring dish of stuffing to room temperature. When turkey is done, increase oven temperature to 425F and bake stuffing, covered tightly with foil, until hot throughout, about 20 minutes. Remove foil and bake until top is golden and crisp, about 15 minutes more."",""Cooks' Note: Bread can be toasted 3 days ahead and kept (once cool) in a sealed bag at room temperature. Stuffing can be prepared (but not baked) 4 hours before roasting turkey. If baking stuffing at the same time as potatoes, put stuffing in upper third of oven and potatoes in bottom third (allow extra time).""}"
"Newton's Law","NULL","NULL","NULL","https://zfiyfhmsuhitytsuioml.supabase.co/storage/v1/object/public/recipe-images/newtons-law-apple-bourbon-cocktail.jpg","[""1 teaspoon dark brown sugar"", ""1 teaspoon hot water"", ""1  oz. bourbon"", ""oz. fresh lemon juice"", ""2 teaspoons apple butter (storebought or homemade)"", ""Garnish: orange twist and freshly grated or ground cinnamon""]","{""1 teaspoon dark brown sugar"",""1 teaspoon hot water"",""1  oz. bourbon"",""oz. fresh lemon juice"",""2 teaspoons apple butter (storebought or homemade)"",""Garnish: orange twist and freshly grated or ground cinnamon""}","{""Stir together brown sugar and hot water in a cocktail shaker to dissolve. Let cool, then add bourbon, lemon juice, and apple butter and fill with ice. Shake until well chilled, about 15 seconds. Strain into an icefilled rocks glass. Garnish with orange twist and cinnamon.""}"
"Warm Comfort","NULL","NULL","NULL","https://zfiyfhmsuhitytsuioml.supabase.co/storage/v1/object/public/recipe-images/warm-comfort-tequila-chamomile-toddy.jpg","[""2 chamomile tea bags"", ""1 oz. reposado tequila"", ""oz. fresh lemon juice"", ""1 Tbsp. agave nectar""]","{""2 chamomile tea bags"",""1 oz. reposado tequila"",""oz. fresh lemon juice"",""1 Tbsp. agave nectar""}","{""Place 2 chamomile tea bags in a heatsafe vessel, such as a large liquid measuring cup. Pour in 1  cups boiling water, and let steep 5 minutes, then remove tea bags."",""Add 1  oz. reposado tequila,  oz. fresh lemon juice, and 1 Tbsp. agave nectar and stir until incorporated. Pour into a 16ounce insulated mug (or two smaller 8ounce mugs) and drink hot.""}"
"Apples and Oranges","NULL","NULL","NULL","https://zfiyfhmsuhitytsuioml.supabase.co/storage/v1/object/public/recipe-images/apples-and-oranges-spiked-cider.jpg","[""3 oz. Grand Marnier"", ""1 oz. Amaro Averna"", ""Small pat salted butter (about  teaspoon)"", ""1 cup hot apple cider"", ""1 to 3 tsp. fresh lemon juice (to taste, depending on the sweetness of your cider)"", ""Garnish: freshly ground pink peppercorns, plus 2 lemon wheels (optional)""]","{""3 oz. Grand Marnier"",""1 oz. Amaro Averna"",""Small pat salted butter (about  teaspoon)"",""1 cup hot apple cider"",""1 to 3 tsp. fresh lemon juice (to taste, depending on the sweetness of your cider)"",""Garnish: freshly ground pink peppercorns"",""plus 2 lemon wheels (optional)""}","{""Add 3 oz. Grand Marnier, 1 oz. Amaro Averna, and a small pat of salted butter to a 16ounce travel mug or large heatproof measuring cup. Add 1 cup hot apple cider and stir until butter melts."",""Add 1 tsp. fresh lemon juice and taste for sweetness, adding additional if needed. If serving in travel mug, garnish with ground pink peppercorns and seal. If serving in mugs, divide drink between two warmed mugs and garnish each with a pink peppercorndusted lemon wheel.""}"
"Turmeric Hot Toddy","NULL","NULL","NULL","https://zfiyfhmsuhitytsuioml.supabase.co/storage/v1/object/public/recipe-images/turmeric-hot-toddy-claire-sprouse.jpg","[""cup granulated sugar"", ""tsp. ground turmeric"", ""1  oz. Amontillado sherry"", ""1 oz. bourbon, aged rum, Scotch, mezcal, or gin"", ""1 oz. Turmeric Syrup"", ""oz. fresh lemon juice"", ""Garnish: Dehydrated lemon wheel (optional)""]","{""cup granulated sugar"",""tsp. ground turmeric"",""1  oz. Amontillado sherry"",""1 oz. bourbon, aged rum, Scotch, mezcal, or gin"",""1 oz. Turmeric Syrup"",""oz. fresh lemon juice"",""Garnish: Dehydrated lemon wheel (optional)""}","{""For the turmeric syrup, combine  cup hot water and  cup sugar in a liquid measuring cup or mason jar. Add  tsp. ground turmeric and stiror seal and shakeuntil sugar is completely dissolved. (This makes enough syrup for 4 drinks. Syrup can be used immediately or refrigerated, covered, up to 10 days. Shake or stir before using to reincorporate turmeric.)"",""For the toddy, combine 1  oz. Amontillado sherry, 1 oz. bourbon (or other spirit of choice), 1 oz. Turmeric Syrup, and  oz. fresh lemon juice in a sturdy pint glass or 16ounce thermos. Top with 8 oz. hot water and stir gently. Garnish with dehydrated lemon wheel if desired.""}"
"Spiced Lentil and Caramelized Onion Baked Eggs","NULL","NULL","NULL","https://zfiyfhmsuhitytsuioml.supabase.co/storage/v1/object/public/recipe-images/spiced-lentil-and-caramelized-onion-baked-eggs.jpg","[""1 (14.5-ounce) can basic lentil soup, like Amys"", ""1 large onion, thinly sliced"", ""tsp. turmeric"", ""1 tsp. cumin"", ""tsp. Aleppo pepper or  tsp. crushed red pepper flakes"", ""2 Tbsp. tomato paste"", ""3 large eggs"", ""2 Tbsp. ghee, unsalted butter, or olive oil"", ""tsp. whole cumin seeds"", ""Olive oil"", ""Kosher salt and freshly ground black pepper"", ""Parsley, for finishing""]","{""1 (14.5-ounce) can basic lentil soup, like Amys"",""1 large onion, thinly sliced"",""tsp. turmeric"",""1 tsp. cumin"",""tsp. Aleppo pepper or  tsp. crushed red pepper flakes"",""2 Tbsp. tomato paste"",""3 large eggs"",""2 Tbsp. ghee, unsalted butter, or olive oil"",""tsp. whole cumin seeds"",""Olive oil"",""Kosher salt and freshly ground black pepper"",""Parsley"",""for finishing""}","{""Place an oven rack in the center of the oven, then preheat to 350F."",""In a medium, ovensafe pan, heat 1 Tbsp. olive oil over medium heat. Add 1 large, thinly sliced onion and  tsp. Kosher salt. Cook, stirring often, until golden brown, about 25 minutes."",""Add  tsp. turmeric, 1 tsp. cumin,  tsp. Aleppo pepper (or  tsp. crushed red pepper flakes), and 2 Tbsp. tomato paste. Cook and stir constantly until the onions are coated and the tomato paste has darkened slightly, about 2 minutes. Add  cup water; stir and scrape up all the browned bits on the bottom of the pan for 1 to 2 minutes, or until the liquid looks thickened and saucy. Add one 14oz. can of lentil soup; cook, stirring to combine, 1 to 2 minutes. Turn off the heat and season with salt, pepper, and more Aleppo pepper or red pepper flakes to taste."",""Using a spoon, create 3 wells in the lentil mixture. Carefully crack 1 egg into each well. Transfer the pan to the oven and bake until the whites of the eggs are just set, 11 to 13 minutes."",""While the eggs bake, in a small pot or butter warmer, heat 2 Tbsp. unsalted butter, ghee, or olive oil over medium heat. Add  tsp. cumin seeds; swirl the pan until the seeds start to sizzle and brown, 30 seconds to 1 minute. Remove from the heat."",""Drizzle the finished eggs with the butter mixture, season with salt and pepper, and garnish with parsley before serving.""}"
"Hot Pimento Cheese Dip","NULL","NULL","NULL","https://zfiyfhmsuhitytsuioml.supabase.co/storage/v1/object/public/recipe-images/hot-pimento-cheese-dip-polina-chesnakova.jpg","[""1 (7 oz./200 g) can chipotle in adobo sauce"", ""garlic clove, minced"", ""Kosher salt"", ""1 tsp. cornstarch"", ""1 (5 fl oz./150 ml) can evaporated milk (about  cup plus 2 Tbsp)"", ""8 oz. (230 g) sharp or extra-sharp Cheddar cheese, coarsely grated (about 2 cups)"", ""2 oz. (55 g) cream cheese, roughly diced, at room temperature"", ""cup (60 g) mayonnaise"", ""1 (4 oz./115 g) jar diced pimento peppers, drained"", ""1 tsp. Chipotle Pepper Pure""]","{""1 (7 oz./200 g) can chipotle in adobo sauce"",""garlic clove, minced"",""Kosher salt"",""1 tsp. cornstarch"",""1 (5 fl oz./150 ml) can evaporated milk (about  cup plus 2 Tbsp)"",""8 oz. (230 g) sharp or extra-sharp Cheddar cheese, coarsely grated (about 2 cups)"",""2 oz. (55 g) cream cheese, roughly diced, at room temperature"",""cup (60 g) mayonnaise"",""1 (4 oz./115 g) jar diced pimento peppers, drained"",""1 tsp. Chipotle Pepper Pure""}","{""Put the chipotle peppers and adobo sauce in a small food processor or blender and blend until the mixture turns into a smooth pure. Set aside. The chipotle pure can be made in advance, stored in an airtight container, and refrigerated for up to 2 months."",""On a cutting board, sprinkle the garlic with a large pinch of salt and gather it into a small mound. Holding the blunt side of the knife with both hands, press and scrape the knifes sharp end, holding it at a slight angle, across the garlic mound to flatten it. Repeat, dragging it across the garlic, until you have a smooth paste. Set aside."",""In a small bowl, mix the cornstarch and 1 tsp. of the evaporated milk into a slurry. Pour the rest of the evaporated milk into a medium saucepan and stir in the slurry. Bring to a boil over mediumhigh heat, whisking constantly. Turn the heat to low and add the Cheddar gradually by the handful, stirring until the Cheddar is melted and the mixture is smooth. Add the cream cheese and whisk until it melts. Stir in the mayonnaise, pimento peppers, 1 tsp. of the chipotle pure, and the garlic paste. Season with salt. Transfer to a serving bowl or keep it warm in a slow cooker and serve immediately."",""To reheat the sauce, microwave it, stirring every 30 seconds, until fully melted.""}"
"Spiral Ham in the Slow Cooker","NULL","NULL","NULL","https://zfiyfhmsuhitytsuioml.supabase.co/storage/v1/object/public/recipe-images/spiral-ham-in-the-slow-cooker-guarnaschelli.jpg","[""1 (6- to 7-pound) bone-in, hickory-smoked, uncured fully cooked ham"", ""5 medium parsnips, peeled and halved lengthwise"", ""5 medium carrots, peeled and halved lengthwise"", ""1 cup maple syrup"", ""2 cups unsweetened apple juice"", ""cup packed dark brown sugar"", ""cup smooth Dijon mustard"", ""cup grainy Dijon mustard"", ""2 tablespoons apple cider vinegar"", ""Kosher salt (if needed)""]","{""1 (6- to 7-pound) bone-in, hickory-smoked, uncured fully cooked ham"",""5 medium parsnips, peeled and halved lengthwise"",""5 medium carrots, peeled and halved lengthwise"",""1 cup maple syrup"",""2 cups unsweetened apple juice"",""cup packed dark brown sugar"",""cup smooth Dijon mustard"",""cup grainy Dijon mustard"",""2 tablespoons apple cider vinegar"",""Kosher salt (if needed)""}","{""Pour 3 cups of water into a 7quart slow cooker. Add the ham, cutside up, as well as the parsnips and carrots. Pour the maple syrup and apple juice over the ham, and sprinkle the brown sugar over the top. Cook on high, uncovered, for 30 to 45 minutes, then cover the slow cooker and cook on low until the ham is tender, 3 to 4 hours. Hams vary in size and tenderness, so be patient. When its tender, the meat should come off the bone with very little resistance. Taste a small piece for tenderness."",""Transfer the ham and vegetables to a deep serving platter (reserve the liquid in the pot). Use a pair of kitchen shears or scissors to cut the slices of ham off the bone and let them fall onto the platter. Stir both kinds of mustard and the vinegar into the cooking liquid left in the slow cooker and taste for seasoningthe sauce may or may not need salt. Pour the liquid over the ham and vegetables, and serve.""}"
"Butternut Squash and Apple Soup","NULL","NULL","NULL","https://zfiyfhmsuhitytsuioml.supabase.co/storage/v1/object/public/recipe-images/butternut-squash-apple-soup-365210.jpg","[""6 slices bacon, cut crosswise into -inch pieces"", ""2 celery ribs, chopped"", ""1 carrot, chopped"", ""1 medium onion, chopped"", ""teaspoon cinnamon"", ""pound boiling potatoes"", ""2 medium Granny Smith apples (about  pound total)"", ""1  pounds butternut squash, peeled, seeded, and cut into -inch pieces (3 to 4 cups)"", ""2 cups reduced-sodium chicken stock or broth"", ""2 to 2 cups water"", ""Sour cream""]","{""6 slices bacon, cut crosswise into -inch pieces"",""2 celery ribs, chopped"",""1 carrot, chopped"",""1 medium onion, chopped"",""teaspoon cinnamon"",""pound boiling potatoes"",""2 medium Granny Smith apples (about  pound total)"",""1  pounds butternut squash, peeled, seeded, and cut into -inch pieces (3 to 4 cups)"",""2 cups reduced-sodium chicken stock or broth"",""2 to 2 cups water"",""Sour cream""}","{""Cook bacon in a 6quart heavy pot over medium heat, stirring occasionally, until crisp, then transfer with a slotted spoon to paper towels to drain, reserving 2 tablespoons fat in pot. (Add vegetable oil if your bacon is very lean and doesn't yield enough fat.)"",""Cook celery, carrot, and onion in fat in pot over low heat, covered, stirring occasionally, until softened but not browned, 10 to 12 minutes. Add cinnamon and cook, uncovered, stirring, 1 minute."",""While vegetables are cooking, peel potatoes and coarsely chop. Peel and core 1 apple and coarsely chop."",""Stir squash, potato, chopped apple, stock, 2 cups water, 1 teaspoon salt and 1/2 teaspoon pepper into onion mixture, then simmer, uncovered, stirring occasionally, until vegetables are very tender, 15 to 20 minutes."",""Puree soup in 4 batches in a blender (use caution when blending hot liquids), then heat in cleaned pot over medium low heat, stirring occasionally. (Add additional 1/2 cup water to thin, if necessary.)"",""While soup is heating, cut enough of remaining apple into thin matchsticks (about 1 1/2inches long) to measure about 1/2 cup."",""Serve soup topped with sour cream, bacon, and apple matchsticks."",""Cooks' Notes: Soup can be made 2 days ahead and chilled, covered once cooled. Cooked bacon can be kept refrigerated in an airtight containerreheat in a 375F oven in a small baking pan.""}"
